,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
149,2020,05,0.0,0.0,0.0,5693943662.5,3078093615.0,2615850047.5
150,2020,06,0.0,0.0,0.0,5008316185.0,2721328557.0,2286987628.0
151,2020,07,0.0,0.0,0.0,5043793364.5,2638936132.0,2404857232.5
152,2020,08,0.0,0.0,0.0,5014712569.5,2613058239.0,2401654330.5
153,2020,09,0.0,0.0,0.0,4907908890.0,2661783500.0,2246125390.0
154,2020,10,0.0,0.0,0.0,5410011677.5,3041724497.0,2368287180.5
155,2020,11,0.0,0.0,0.0,5531486902.5,3095290471.0,2436196431.5
156,2020,12,0.0,0.0,0.0,5270295531.0,2868491144.0,2401804387.0
157,2021,01,0.0,0.0,0.0,5599417364.0,2997179790.0,2602237574.0
158,2021,02,0.0,0.0,0.0,5030185607.5,2761616525.0,2268569082.5
159,2021,03,0.0,0.0,0.0,5608572364.0,3141441360.0,2467131004.0
160,2021,04,0.0,0.0,0.0,5262262033.5,2882714492.0,2379547541.5
161,2021,05,0.0,0.0,0.0,5312705956.0,2824416177.0,2488289779.0
162,2021,06,0.0,0.0,0.0,4798226574.5,2505971366.0,2292255208.5
163,2021,07,0.0,0.0,0.0,5155039078.5,2765584368.0,2389454710.5
